Place,Rent,Distance,Gender,WiFi,Food,Parking,Amenities,Combined
Jaligaon,6000,7500.0,Female,No,No,Yes,"Medical Shops, Restaurants, Gym, Transportation",Jaligaon 6000 7500.0 Female No No Yes Medical Shops Restaurants Gym Transportation
"Lane-10, Post Office Road",12400,4200.0,Female,Yes,Yes,Yes,"Grocery Stores, Transportation",Lane-10 Post Office Road 12400 4200.0 Female Yes Yes Yes Grocery Stores Transportation
Tibetan Colony,8900,6800.0,Male,Yes,Yes,Yes,Gym,Tibetan Colony 8900 6800.0 Male Yes Yes Yes Gym
St Mary Church,6800,4400.0,Female,Yes,No,No,Medical Shops,St Mary Church 6800 4400.0 Female Yes No No Medical Shops
Bharuwala colony,5700,6200.0,Female,Yes,No,No,Restaurants,Bharuwala colony 5700 6200.0 Female Yes No No Restaurants
Tibetan Colony,10800,6800.0,Male,No,No,No,"Transportation, Gym, Medical Shops, Restaurants, Grocery Stores",Tibetan Colony 10800 6800.0 Male No No No Transportation Gym Medical Shops Restaurants Grocery Stores
Sahastradhara,13000,9500.0,Female,Yes,No,No,Medical Shops,Sahastradhara 13000 9500.0 Female Yes No No Medical Shops
Air Force Colony,10600,6000.0,Male,Yes,Yes,No,"Grocery Stores, Medical Shops",Air Force Colony 10600 6000.0 Male Yes Yes No Grocery Stores Medical Shops
"Lane-4, Clement Town",8400,3500.0,Male,Yes,No,No,"Medical Shops, Transportation, Gym",Lane-4 Clement Town 8400 3500.0 Male Yes No No Medical Shops Transportation Gym
Nehru Marg,7100,5700.0,Male,Yes,Yes,No,"Medical Shops, Restaurants, Transportation, Gym",Nehru Marg 7100 5700.0 Male Yes Yes No Medical Shops Restaurants Transportation Gym
Bharuwala colony,8300,6200.0,Female,Yes,No,No,"Grocery Stores, Gym, Medical Shops, Restaurants",Bharuwala colony 8300 6200.0 Female Yes No No Grocery Stores Gym Medical Shops Restaurants
Tibetan Colony,5100,6800.0,Female,Yes,No,Yes,Transportation,Tibetan Colony 5100 6800.0 Female Yes No Yes Transportation
"Clement Town, Post Office Road, Lane No 10",5400,4000.0,Male,No,Yes,No,Medical Shops,Clement Town Post Office Road Lane No 10 5400 4000.0 Male No Yes No Medical Shops
Sahastradhara,5100,9500.0,Female,No,Yes,No,Gym,Sahastradhara 5100 9500.0 Female No Yes No Gym
Tibetan Colony,12900,6800.0,Male,Yes,Yes,Yes,"Grocery Stores, Medical Shops, Restaurants",Tibetan Colony 12900 6800.0 Male Yes Yes Yes Grocery Stores Medical Shops Restaurants
St Mary Church,12600,4400.0,Male,No,Yes,No,"Transportation, Restaurants, Grocery Stores, Medical Shops, Gym",St Mary Church 12600 4400.0 Male No Yes No Transportation Restaurants Grocery Stores Medical Shops Gym
ISBT Road,12600,3300.0,Female,Yes,No,No,"Gym, Medical Shops, Grocery Stores, Restaurants",ISBT Road 12600 3300.0 Female Yes No No Gym Medical Shops Grocery Stores Restaurants
GK army Pre Primary School,12200,4600.0,Female,No,Yes,No,"Medical Shops, Gym",GK army Pre Primary School 12200 4600.0 Female No Yes No Medical Shops Gym
Subhash Nagar,13000,5000.0,Male,No,No,Yes,"Restaurants, Grocery Stores",Subhash Nagar 13000 5000.0 Male No No Yes Restaurants Grocery Stores
Jaligaon,9800,7500.0,Female,No,No,No,"Medical Shops, Transportation, Gym, Restaurants, Grocery Stores",Jaligaon 9800 7500.0 Female No No No Medical Shops Transportation Gym Restaurants Grocery Stores
"Clement Town, Post Office Road, Lane No 10",9500,4000.0,Male,Yes,No,No,"Medical Shops, Restaurants, Gym",Clement Town Post Office Road Lane No 10 9500 4000.0 Male Yes No No Medical Shops Restaurants Gym
Shubhash Nagar,3400,5400.0,Female,No,Yes,Yes,"Transportation, Restaurants",Shubhash Nagar 3400 5400.0 Female No Yes Yes Transportation Restaurants
Clement Town,11800,2700.0,Male,No,No,Yes,"Medical Shops, Grocery Stores, Restaurants, Gym, Transportation",Clement Town 11800 2700.0 Male No No Yes Medical Shops Grocery Stores Restaurants Gym Transportation
Tibetan Colony,11900,6800.0,Female,Yes,Yes,No,"Restaurants, Grocery Stores, Medical Shops, Transportation",Tibetan Colony 11900 6800.0 Female Yes Yes No Restaurants Grocery Stores Medical Shops Transportation
"Subhash Nagar, Dehradun",4500,5300.0,Female,No,No,Yes,"Gym, Restaurants, Transportation, Medical Shops, Grocery Stores",Subhash Nagar Dehradun 4500 5300.0 Female No No Yes Gym Restaurants Transportation Medical Shops Grocery Stores
GK army Pre Primary School,10400,4600.0,Female,No,Yes,No,"Medical Shops, Gym, Transportation, Grocery Stores",GK army Pre Primary School 10400 4600.0 Female No Yes No Medical Shops Gym Transportation Grocery Stores
Mohabbewala,9200,8200.0,Male,Yes,No,No,"Transportation, Restaurants, Grocery Stores, Gym",Mohabbewala 9200 8200.0 Male Yes No No Transportation Restaurants Grocery Stores Gym
"Lane-4, Clement Town",5800,3500.0,Male,No,Yes,Yes,"Gym, Grocery Stores",Lane-4 Clement Town 5800 3500.0 Male No Yes Yes Gym Grocery Stores
Bharuwala colony,10200,6200.0,Female,No,No,No,"Grocery Stores, Medical Shops, Transportation",Bharuwala colony 10200 6200.0 Female No No No Grocery Stores Medical Shops Transportation
Pant Road,11300,6400.0,Male,No,Yes,No,"Grocery Stores, Transportation",Pant Road 11300 6400.0 Male No Yes No Grocery Stores Transportation
"Subhash Nagar, Dehradun",5900,5300.0,Male,No,Yes,Yes,"Medical Shops, Transportation, Gym, Grocery Stores, Restaurants",Subhash Nagar Dehradun 5900 5300.0 Male No Yes Yes Medical Shops Transportation Gym Grocery Stores Restaurants
Clement Town,4300,2700.0,Male,No,Yes,Yes,"Transportation, Grocery Stores",Clement Town 4300 2700.0 Male No Yes Yes Transportation Grocery Stores
ISBT Road,6000,3300.0,Male,No,No,No,Transportation,ISBT Road 6000 3300.0 Male No No No Transportation
GK army Pre Primary School,8700,4600.0,Male,Yes,No,No,"Medical Shops, Transportation, Restaurants, Grocery Stores, Gym",GK army Pre Primary School 8700 4600.0 Male Yes No No Medical Shops Transportation Restaurants Grocery Stores Gym
"Subhash Nagar, Dehradun",12300,5300.0,Female,No,Yes,No,"Restaurants, Medical Shops, Transportation, Grocery Stores",Subhash Nagar Dehradun 12300 5300.0 Female No Yes No Restaurants Medical Shops Transportation Grocery Stores
Bell Road,10300,5800.0,Male,Yes,Yes,Yes,"Transportation, Medical Shops",Bell Road 10300 5800.0 Male Yes Yes Yes Transportation Medical Shops
St Mary Church,3300,4400.0,Female,No,No,No,"Restaurants, Transportation, Gym",St Mary Church 3300 4400.0 Female No No No Restaurants Transportation Gym
Morowala,10700,7000.0,Female,Yes,Yes,Yes,Transportation,Morowala 10700 7000.0 Female Yes Yes Yes Transportation
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7000,4100.0,Male,Yes,Yes,Yes,"Transportation, Restaurants, Gym, Medical Shops",Lane No 2C Post Office Road Clement Town Dehradun 7000 4100.0 Male Yes Yes Yes Transportation Restaurants Gym Medical Shops
Morowala,4300,7000.0,Male,Yes,Yes,No,"Transportation, Grocery Stores, Restaurants",Morowala 4300 7000.0 Male Yes Yes No Transportation Grocery Stores Restaurants
Clement Town,4600,2700.0,Male,No,Yes,No,"Gym, Transportation, Medical Shops, Grocery Stores",Clement Town 4600 2700.0 Male No Yes No Gym Transportation Medical Shops Grocery Stores
Bharuwala colony,3000,6200.0,Male,Yes,Yes,No,Grocery Stores,Bharuwala colony 3000 6200.0 Male Yes Yes No Grocery Stores
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7300,4100.0,Female,Yes,Yes,Yes,"Transportation, Medical Shops, Restaurants, Grocery Stores, Gym",Lane No 2C Post Office Road Clement Town Dehradun 7300 4100.0 Female Yes Yes Yes Transportation Medical Shops Restaurants Grocery Stores Gym
"Lane-10, Post Office Road",12800,4200.0,Male,Yes,No,Yes,"Restaurants, Medical Shops, Gym",Lane-10 Post Office Road 12800 4200.0 Male Yes No Yes Restaurants Medical Shops Gym
Shubhash Nagar,11400,5400.0,Male,No,No,Yes,"Grocery Stores, Gym, Restaurants, Medical Shops",Shubhash Nagar 11400 5400.0 Male No No Yes Grocery Stores Gym Restaurants Medical Shops
"Lane-3, Clement Town",9600,3300.0,Male,No,Yes,Yes,"Gym, Grocery Stores, Restaurants",Lane-3 Clement Town 9600 3300.0 Male No Yes Yes Gym Grocery Stores Restaurants
"Lane-3, Clement Town",4300,3300.0,Female,Yes,No,Yes,Medical Shops,Lane-3 Clement Town 4300 3300.0 Female Yes No Yes Medical Shops
"Lane-2, Clement Town",10200,2900.0,Male,No,No,Yes,"Grocery Stores, Medical Shops, Restaurants, Transportation",Lane-2 Clement Town 10200 2900.0 Male No No Yes Grocery Stores Medical Shops Restaurants Transportation
Morowala,10900,7000.0,Male,Yes,Yes,Yes,"Gym, Restaurants",Morowala 10900 7000.0 Male Yes Yes Yes Gym Restaurants
Morowala,4800,7000.0,Male,No,No,Yes,Gym,Morowala 4800 7000.0 Male No No Yes Gym
"Lane-1, Clement Town",5500,2800.0,Male,Yes,Yes,Yes,"Grocery Stores, Gym, Restaurants, Transportation, Medical Shops",Lane-1 Clement Town 5500 2800.0 Male Yes Yes Yes Grocery Stores Gym Restaurants Transportation Medical Shops
Manav Kendra,11500,3900.0,Male,Yes,Yes,No,"Restaurants, Medical Shops, Grocery Stores",Manav Kendra 11500 3900.0 Male Yes Yes No Restaurants Medical Shops Grocery Stores
Shubhash Nagar,10100,5400.0,Female,Yes,Yes,No,"Gym, Restaurants, Medical Shops",Shubhash Nagar 10100 5400.0 Female Yes Yes No Gym Restaurants Medical Shops
Bell Road,11200,5800.0,Male,No,Yes,Yes,"Medical Shops, Restaurants, Gym, Transportation, Grocery Stores",Bell Road 11200 5800.0 Male No Yes Yes Medical Shops Restaurants Gym Transportation Grocery Stores
ISBT Road,5900,3300.0,Female,No,Yes,Yes,"Transportation, Gym, Grocery Stores",ISBT Road 5900 3300.0 Female No Yes Yes Transportation Gym Grocery Stores
Nehru Marg,11300,5700.0,Female,Yes,Yes,No,"Gym, Medical Shops",Nehru Marg 11300 5700.0 Female Yes Yes No Gym Medical Shops
Clement Town,10100,2700.0,Male,Yes,No,No,"Gym, Medical Shops",Clement Town 10100 2700.0 Male Yes No No Gym Medical Shops
"Lane-2, Clement Town",11800,2900.0,Male,Yes,No,No,"Restaurants, Gym, Transportation, Medical Shops",Lane-2 Clement Town 11800 2900.0 Male Yes No No Restaurants Gym Transportation Medical Shops
"Clement Town, Post Office Road, Lane No 10",9200,4000.0,Female,Yes,Yes,Yes,"Restaurants, Transportation",Clement Town Post Office Road Lane No 10 9200 4000.0 Female Yes Yes Yes Restaurants Transportation
Subhash Nagar,7300,5000.0,Female,No,Yes,No,"Grocery Stores, Medical Shops, Transportation, Gym",Subhash Nagar 7300 5000.0 Female No Yes No Grocery Stores Medical Shops Transportation Gym
St Mary Church,8900,4400.0,Female,Yes,No,No,"Transportation, Medical Shops, Restaurants, Grocery Stores, Gym",St Mary Church 8900 4400.0 Female Yes No No Transportation Medical Shops Restaurants Grocery Stores Gym
"Lane-2, Clement Town",9100,2900.0,Female,Yes,Yes,No,"Gym, Grocery Stores, Restaurants, Medical Shops",Lane-2 Clement Town 9100 2900.0 Female Yes Yes No Gym Grocery Stores Restaurants Medical Shops
Bell Road,9900,5800.0,Male,Yes,Yes,Yes,"Grocery Stores, Restaurants",Bell Road 9900 5800.0 Male Yes Yes Yes Grocery Stores Restaurants
Tibetan Colony,7000,6800.0,Male,Yes,Yes,No,"Restaurants, Medical Shops, Gym, Grocery Stores, Transportation",Tibetan Colony 7000 6800.0 Male Yes Yes No Restaurants Medical Shops Gym Grocery Stores Transportation
Jaligaon,11300,7500.0,Female,Yes,Yes,Yes,"Transportation, Gym, Restaurants, Grocery Stores",Jaligaon 11300 7500.0 Female Yes Yes Yes Transportation Gym Restaurants Grocery Stores
"Clement Town, Post Office Road, Lane No 10",10700,4000.0,Male,Yes,Yes,Yes,"Grocery Stores, Gym, Restaurants",Clement Town Post Office Road Lane No 10 10700 4000.0 Male Yes Yes Yes Grocery Stores Gym Restaurants
Clement Town,6500,2700.0,Female,No,No,Yes,"Gym, Grocery Stores, Restaurants, Medical Shops",Clement Town 6500 2700.0 Female No No Yes Gym Grocery Stores Restaurants Medical Shops
"Lane-2, Clement Town",5600,2900.0,Female,No,No,No,"Gym, Medical Shops, Restaurants, Transportation, Grocery Stores",Lane-2 Clement Town 5600 2900.0 Female No No No Gym Medical Shops Restaurants Transportation Grocery Stores
Bell Road,4600,5800.0,Male,Yes,No,No,Medical Shops,Bell Road 4600 5800.0 Male Yes No No Medical Shops
Pant Road,6700,6400.0,Male,No,No,Yes,Transportation,Pant Road 6700 6400.0 Male No No Yes Transportation
Shubhash Nagar,7600,5400.0,Female,Yes,Yes,No,Restaurants,Shubhash Nagar 7600 5400.0 Female Yes Yes No Restaurants
"Lane-3, Clement Town",9300,3300.0,Female,Yes,Yes,No,"Transportation, Grocery Stores",Lane-3 Clement Town 9300 3300.0 Female Yes Yes No Transportation Grocery Stores
Shubhash Nagar,8100,5400.0,Male,No,No,Yes,"Grocery Stores, Transportation",Shubhash Nagar 8100 5400.0 Male No No Yes Grocery Stores Transportation
Jaligaon,4900,7500.0,Female,Yes,Yes,No,Grocery Stores,Jaligaon 4900 7500.0 Female Yes Yes No Grocery Stores
St Mary Church,4000,4400.0,Male,No,Yes,Yes,Restaurants,St Mary Church 4000 4400.0 Male No Yes Yes Restaurants
Mohabbewala,12700,8200.0,Female,No,No,Yes,"Gym, Transportation, Grocery Stores, Restaurants, Medical Shops",Mohabbewala 12700 8200.0 Female No No Yes Gym Transportation Grocery Stores Restaurants Medical Shops
Bell Road,8900,5800.0,Male,No,Yes,Yes,"Gym, Restaurants, Grocery Stores, Transportation",Bell Road 8900 5800.0 Male No Yes Yes Gym Restaurants Grocery Stores Transportation
Clement Town,4100,2700.0,Male,Yes,Yes,Yes,"Grocery Stores, Gym",Clement Town 4100 2700.0 Male Yes Yes Yes Grocery Stores Gym
Morowala,8200,7000.0,Male,No,Yes,No,"Medical Shops, Gym, Restaurants, Transportation",Morowala 8200 7000.0 Male No Yes No Medical Shops Gym Restaurants Transportation
"Subhash Nagar, Dehradun",9100,5300.0,Female,No,Yes,No,"Gym, Medical Shops, Transportation, Restaurants",Subhash Nagar Dehradun 9100 5300.0 Female No Yes No Gym Medical Shops Transportation Restaurants
Morowala,11200,7000.0,Female,Yes,No,Yes,"Transportation, Restaurants, Medical Shops",Morowala 11200 7000.0 Female Yes No Yes Transportation Restaurants Medical Shops
"Subhash Nagar, Dehradun",5100,5300.0,Male,No,No,No,"Restaurants, Gym, Transportation, Grocery Stores",Subhash Nagar Dehradun 5100 5300.0 Male No No No Restaurants Gym Transportation Grocery Stores
ISBT Road,12000,3300.0,Female,No,Yes,No,"Restaurants, Transportation, Medical Shops, Grocery Stores, Gym",ISBT Road 12000 3300.0 Female No Yes No Restaurants Transportation Medical Shops Grocery Stores Gym
"Lane-4, Clement Town",11100,3500.0,Female,Yes,Yes,Yes,"Grocery Stores, Medical Shops, Restaurants",Lane-4 Clement Town 11100 3500.0 Female Yes Yes Yes Grocery Stores Medical Shops Restaurants
Shubhash Nagar,7400,5400.0,Male,No,No,No,Transportation,Shubhash Nagar 7400 5400.0 Male No No No Transportation
"Lane-2, Clement Town",6700,2900.0,Female,No,Yes,No,"Grocery Stores, Restaurants, Transportation",Lane-2 Clement Town 6700 2900.0 Female No Yes No Grocery Stores Restaurants Transportation
"Lane-1, Clement Town",4800,2800.0,Female,No,No,No,"Medical Shops, Restaurants, Grocery Stores",Lane-1 Clement Town 4800 2800.0 Female No No No Medical Shops Restaurants Grocery Stores
Nehru Marg,8500,5700.0,Female,No,Yes,No,"Grocery Stores, Gym, Transportation",Nehru Marg 8500 5700.0 Female No Yes No Grocery Stores Gym Transportation
Tibetan Colony,10700,6800.0,Female,No,No,Yes,"Restaurants, Transportation, Grocery Stores",Tibetan Colony 10700 6800.0 Female No No Yes Restaurants Transportation Grocery Stores
"Lane-4, Clement Town",9200,3500.0,Male,No,Yes,Yes,"Transportation, Grocery Stores, Restaurants, Gym",Lane-4 Clement Town 9200 3500.0 Male No Yes Yes Transportation Grocery Stores Restaurants Gym
Mohabbewala,12100,8200.0,Male,No,Yes,Yes,"Transportation, Grocery Stores, Gym, Medical Shops",Mohabbewala 12100 8200.0 Male No Yes Yes Transportation Grocery Stores Gym Medical Shops
"Lane-3, Clement Town",6800,3300.0,Male,Yes,No,Yes,Gym,Lane-3 Clement Town 6800 3300.0 Male Yes No Yes Gym
St Mary Church,5500,4400.0,Male,No,No,No,"Medical Shops, Transportation, Gym",St Mary Church 5500 4400.0 Male No No No Medical Shops Transportation Gym
Bell Road,5500,5800.0,Female,No,Yes,Yes,"Medical Shops, Grocery Stores, Gym, Transportation, Restaurants",Bell Road 5500 5800.0 Female No Yes Yes Medical Shops Grocery Stores Gym Transportation Restaurants
Air Force Colony,4600,6000.0,Female,No,No,No,"Gym, Transportation, Grocery Stores",Air Force Colony 4600 6000.0 Female No No No Gym Transportation Grocery Stores
Mohabbewala,10600,8200.0,Female,Yes,Yes,Yes,"Transportation, Restaurants, Gym, Medical Shops, Grocery Stores",Mohabbewala 10600 8200.0 Female Yes Yes Yes Transportation Restaurants Gym Medical Shops Grocery Stores
Pant Road,11500,6400.0,Male,Yes,Yes,No,"Grocery Stores, Gym, Restaurants, Transportation, Medical Shops",Pant Road 11500 6400.0 Male Yes Yes No Grocery Stores Gym Restaurants Transportation Medical Shops
"Clement Town, Post Office Road, Lane No 10",12700,4000.0,Female,Yes,No,Yes,"Transportation, Restaurants",Clement Town Post Office Road Lane No 10 12700 4000.0 Female Yes No Yes Transportation Restaurants
"Lane-1, Clement Town",3100,2800.0,Male,No,Yes,Yes,"Restaurants, Transportation, Medical Shops, Gym, Grocery Stores",Lane-1 Clement Town 3100 2800.0 Male No Yes Yes Restaurants Transportation Medical Shops Gym Grocery Stores
ISBT Road,9300,3300.0,Male,Yes,No,Yes,"Gym, Transportation, Medical Shops, Restaurants",ISBT Road 9300 3300.0 Male Yes No Yes Gym Transportation Medical Shops Restaurants
Morowala,7600,7000.0,Female,No,Yes,No,Restaurants,Morowala 7600 7000.0 Female No Yes No Restaurants
Bharuwala colony,4400,6200.0,Female,Yes,Yes,No,"Medical Shops, Transportation, Restaurants, Grocery Stores, Gym",Bharuwala colony 4400 6200.0 Female Yes Yes No Medical Shops Transportation Restaurants Grocery Stores Gym
Tibetan Colony,5200,6800.0,Male,No,Yes,Yes,"Restaurants, Medical Shops, Gym",Tibetan Colony 5200 6800.0 Male No Yes Yes Restaurants Medical Shops Gym
"Lane-10, Post Office Road",7000,4200.0,Male,No,No,Yes,"Transportation, Gym",Lane-10 Post Office Road 7000 4200.0 Male No No Yes Transportation Gym
Shubhash Nagar,6900,5400.0,Female,No,Yes,Yes,Transportation,Shubhash Nagar 6900 5400.0 Female No Yes Yes Transportation
Gurn Nanak Road,11300,5000.0,Female,No,No,No,Restaurants,Gurn Nanak Road 11300 5000.0 Female No No No Restaurants
Subhash Nagar,10100,5000.0,Female,Yes,No,No,Transportation,Subhash Nagar 10100 5000.0 Female Yes No No Transportation
Manav Kendra,4500,3900.0,Female,Yes,Yes,No,"Gym, Grocery Stores, Medical Shops",Manav Kendra 4500 3900.0 Female Yes Yes No Gym Grocery Stores Medical Shops
Nehru Marg,12400,5700.0,Female,Yes,No,Yes,Medical Shops,Nehru Marg 12400 5700.0 Female Yes No Yes Medical Shops
Clement Town,5600,2700.0,Female,Yes,Yes,No,"Gym, Restaurants",Clement Town 5600 2700.0 Female Yes Yes No Gym Restaurants
Subhash Nagar,3100,5000.0,Male,Yes,No,No,"Grocery Stores, Transportation",Subhash Nagar 3100 5000.0 Male Yes No No Grocery Stores Transportation
Sahastradhara,9000,9500.0,Female,Yes,No,No,"Gym, Restaurants, Transportation",Sahastradhara 9000 9500.0 Female Yes No No Gym Restaurants Transportation
Mohabbewala,7700,8200.0,Male,No,No,Yes,"Restaurants, Grocery Stores, Transportation, Medical Shops, Gym",Mohabbewala 7700 8200.0 Male No No Yes Restaurants Grocery Stores Transportation Medical Shops Gym
Subhash Nagar,9500,5000.0,Male,No,No,Yes,Restaurants,Subhash Nagar 9500 5000.0 Male No No Yes Restaurants
Jaligaon,11700,7500.0,Male,No,No,Yes,"Transportation, Medical Shops, Gym",Jaligaon 11700 7500.0 Male No No Yes Transportation Medical Shops Gym
"Lane-4, Clement Town",4400,3500.0,Male,Yes,No,Yes,Restaurants,Lane-4 Clement Town 4400 3500.0 Male Yes No Yes Restaurants
Pant Road,11500,6400.0,Female,Yes,No,No,"Transportation, Grocery Stores, Gym",Pant Road 11500 6400.0 Female Yes No No Transportation Grocery Stores Gym
