Location,Rent (INR),Distance from College (km),Gender,WiFi,Distance from College (m),Food Availability,Parking Availability,Amenities
Nehru Marg,7098,,Male,No,651.0,No,No,"Grocery Stores, Transportation, Restaurants, Gym, Medical Shops"
Clement Town,4326,,Male,Yes,210.0,No,No,"Grocery Stores, Transportation, Medical Shops, Restaurants"
Jaligaon,6365,,Female,No,653.0,No,No,"Gym, Restaurants, Medical Shops"
"Clement Town, Post Office Road, Lane No 10",4614,,Female,Yes,633.0,Yes,No,"Gym, Transportation, Grocery Stores, Medical Shops, Restaurants"
"Lane-1, Clement Town",7317,,Male,Yes,525.0,Yes,No,"Gym, Transportation, Medical Shops"
ISBT Road,4175,,Female,No,325.0,Yes,Yes,"Grocery Stores, Restaurants, Gym, Transportation"
"Lane-2, Clement Town",4382,,Female,No,256.0,No,No,Gym
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7113,,Male,Yes,776.0,No,Yes,"Transportation, Gym, Grocery Stores, Restaurants, Medical Shops"
Shubhash Nagar,7180,,Male,No,641.0,No,Yes,"Transportation, Restaurants, Gym, Grocery Stores, Medical Shops"
Manav Kendra,7691,,Female,No,537.0,Yes,Yes,"Grocery Stores, Gym, Restaurants, Medical Shops, Transportation"
Tibetan Colony,7658,,Male,No,508.0,Yes,Yes,"Restaurants, Transportation, Medical Shops, Gym"
"Lane-10, Post Office Road",6440,,Female,No,991.0,Yes,No,"Grocery Stores, Transportation"
Morowala,5357,,Male,No,536.0,Yes,Yes,Restaurants
"Lane-4, Clement Town",4554,,Male,No,248.0,No,Yes,Transportation
Sahastradhara,4829,,Female,Yes,896.0,Yes,No,"Transportation, Grocery Stores"
Bharuwala colony,7744,,Female,Yes,319.0,Yes,Yes,"Medical Shops, Grocery Stores"
"Lane-4, Clement Town",6275,,Male,Yes,249.0,No,No,"Gym, Medical Shops, Transportation, Restaurants"
Bell Road,4168,,Female,No,296.0,Yes,Yes,"Medical Shops, Restaurants, Grocery Stores"
Bell Road,5716,,Male,Yes,896.0,Yes,Yes,"Restaurants, Medical Shops, Grocery Stores, Gym, Transportation"
Pant Road,4537,,Male,Yes,438.0,Yes,No,"Transportation, Grocery Stores, Gym, Restaurants"
Tibetan Colony,6809,,Female,No,201.0,Yes,Yes,"Grocery Stores, Transportation, Restaurants, Gym, Medical Shops"
GK army Pre Primary School,5247,,Female,Yes,766.0,Yes,Yes,"Restaurants, Transportation, Gym, Medical Shops"
"Subhash Nagar, Dehradun",6418,,Female,No,295.0,No,No,"Gym, Transportation"
Nehru Marg,5957,,Female,No,939.0,Yes,No,"Transportation, Grocery Stores"
"Subhash Nagar, Dehradun",4186,,Male,Yes,606.0,Yes,Yes,"Grocery Stores, Gym, Transportation, Restaurants, Medical Shops"
Gurn Nanak Road,7635,,Female,Yes,352.0,No,No,"Grocery Stores, Gym, Restaurants, Medical Shops, Transportation"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",6587,,Female,Yes,479.0,Yes,Yes,Transportation
"Subhash Nagar, Dehradun",5655,,Male,Yes,518.0,No,No,"Gym, Medical Shops, Restaurants, Transportation, Grocery Stores"
"Clement Town, Post Office Road, Lane No 10",6754,,Male,Yes,239.0,Yes,No,"Restaurants, Grocery Stores, Transportation, Gym, Medical Shops"
Gurn Nanak Road,6594,,Male,No,405.0,Yes,Yes,"Medical Shops, Gym, Transportation, Restaurants, Grocery Stores"
Bell Road,7881,,Female,Yes,772.0,Yes,No,"Gym, Grocery Stores, Restaurants, Transportation"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",5646,,Female,Yes,911.0,No,No,"Medical Shops, Gym"
"Lane-4, Clement Town",4119,,Male,No,536.0,Yes,Yes,"Restaurants, Grocery Stores, Gym, Transportation, Medical Shops"
Tibetan Colony,5910,,Male,Yes,641.0,No,No,"Medical Shops, Restaurants, Grocery Stores, Gym, Transportation"
Clement Town,7125,,Female,No,710.0,Yes,No,Medical Shops
Morowala,4866,,Male,Yes,726.0,Yes,Yes,"Gym, Grocery Stores, Medical Shops, Restaurants, Transportation"
Tibetan Colony,4116,,Male,Yes,639.0,No,Yes,"Grocery Stores, Gym"
Mohabbewala,6069,,Female,Yes,287.0,No,No,"Medical Shops, Gym"
"Lane-2, Clement Town",4732,,Male,No,673.0,No,No,"Restaurants, Medical Shops, Transportation, Grocery Stores"
Manav Kendra,7376,,Female,No,357.0,No,Yes,"Gym, Transportation, Medical Shops, Restaurants, Grocery Stores"
Manav Kendra,4986,,Male,No,345.0,No,No,"Medical Shops, Grocery Stores, Gym, Restaurants"
Sahastradhara,4645,,Male,No,397.0,No,No,Restaurants
"Lane No 2C, Post Office Road, Clement Town, Dehradun",6785,,Male,No,481.0,Yes,Yes,"Grocery Stores, Medical Shops, Gym"
Bharuwala colony,5775,,Female,No,431.0,No,No,"Transportation, Medical Shops, Restaurants, Gym, Grocery Stores"
"Lane-1, Clement Town",7373,,Female,Yes,793.0,No,Yes,"Gym, Restaurants, Grocery Stores, Transportation, Medical Shops"
Sahastradhara,5513,,Male,Yes,602.0,Yes,Yes,"Transportation, Grocery Stores"
ISBT Road,6882,,Female,No,546.0,Yes,Yes,"Medical Shops, Gym"
Mohabbewala,5080,,Female,No,761.0,No,Yes,"Grocery Stores, Gym"
"Lane-1, Clement Town",6985,,Female,No,873.0,Yes,No,Transportation
Morowala,5402,,Female,Yes,573.0,No,No,"Gym, Transportation"
Clement Town,5814,,Male,Yes,795.0,No,Yes,Gym
Subhash Nagar,7699,,Male,No,845.0,No,No,"Medical Shops, Transportation, Gym, Restaurants, Grocery Stores"
"Lane-3, Clement Town",5437,,Female,Yes,559.0,No,Yes,"Restaurants, Medical Shops, Gym"
"Clement Town, Post Office Road, Lane No 10",7487,,Male,Yes,413.0,No,No,"Medical Shops, Restaurants, Grocery Stores, Transportation, Gym"
Pant Road,5829,,Female,No,772.0,No,No,"Restaurants, Transportation, Gym, Medical Shops"
"Lane-1, Clement Town",7004,,Female,Yes,613.0,Yes,Yes,Medical Shops
ISBT Road,6297,,Female,No,980.0,Yes,Yes,"Transportation, Restaurants"
GK army Pre Primary School,6564,,Female,Yes,804.0,Yes,No,"Medical Shops, Grocery Stores, Restaurants, Gym"
Bell Road,5788,,Female,No,357.0,No,No,"Transportation, Restaurants, Gym, Medical Shops"
ISBT Road,6991,,Male,Yes,252.0,Yes,No,"Transportation, Grocery Stores"
"Lane-2, Clement Town",5929,,Female,No,808.0,No,No,"Grocery Stores, Restaurants"
Pant Road,4732,,Female,No,351.0,Yes,Yes,"Grocery Stores, Restaurants, Transportation, Medical Shops"
Clement Town,7462,,Male,No,459.0,Yes,Yes,Grocery Stores
"Lane-1, Clement Town",6225,,Male,No,852.0,No,No,"Transportation, Restaurants, Grocery Stores"
St Mary Church,6811,,Female,Yes,576.0,No,No,"Transportation, Restaurants, Grocery Stores, Gym"
Clement Town,5412,,Female,No,398.0,Yes,No,"Grocery Stores, Transportation, Restaurants, Gym"
Tibetan Colony,6028,,Female,Yes,553.0,No,Yes,"Gym, Grocery Stores, Transportation, Restaurants, Medical Shops"
Nehru Marg,5895,,Male,No,511.0,No,Yes,"Medical Shops, Restaurants, Gym"
St Mary Church,5813,,Female,No,200.0,Yes,Yes,"Medical Shops, Restaurants"
"Subhash Nagar, Dehradun",5573,,Female,Yes,734.0,No,No,"Restaurants, Grocery Stores, Medical Shops, Transportation"
Shubhash Nagar,5545,,Female,No,233.0,Yes,No,Medical Shops
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7563,,Female,No,673.0,Yes,No,"Gym, Medical Shops, Restaurants, Transportation"
Subhash Nagar,6837,,Female,Yes,962.0,No,No,"Gym, Grocery Stores, Restaurants"
Clement Town,6216,,Male,No,594.0,No,No,"Transportation, Gym, Medical Shops"
Air Force Colony,6489,,Female,Yes,648.0,Yes,No,"Medical Shops, Restaurants, Transportation, Grocery Stores, Gym"
Pant Road,5045,,Female,Yes,789.0,Yes,No,"Medical Shops, Gym, Transportation, Grocery Stores, Restaurants"
Clement Town,5215,,Female,Yes,668.0,No,No,"Grocery Stores, Restaurants, Gym, Medical Shops"
ISBT Road,6452,,Female,No,962.0,No,Yes,"Medical Shops, Transportation, Gym, Restaurants"
Mohabbewala,4737,,Female,No,857.0,No,No,"Transportation, Medical Shops, Gym"
ISBT Road,4094,,Male,Yes,339.0,No,Yes,"Transportation, Grocery Stores, Medical Shops"
"Lane-2, Clement Town",4216,,Male,No,777.0,Yes,Yes,"Restaurants, Medical Shops"
Shubhash Nagar,5115,,Male,Yes,783.0,No,Yes,"Grocery Stores, Medical Shops"
Jaligaon,7776,,Male,Yes,647.0,No,Yes,"Restaurants, Grocery Stores, Gym"
"Lane-4, Clement Town",6455,,Male,No,916.0,Yes,No,"Grocery Stores, Gym"
GK army Pre Primary School,5621,,Male,Yes,434.0,No,Yes,"Gym, Grocery Stores, Medical Shops, Restaurants, Transportation"
"Lane-10, Post Office Road",6599,,Male,Yes,832.0,Yes,No,"Medical Shops, Restaurants"
"Lane-10, Post Office Road",7004,,Female,No,477.0,Yes,Yes,"Transportation, Grocery Stores, Gym, Medical Shops"
"Subhash Nagar, Dehradun",6053,,Female,No,416.0,Yes,Yes,"Restaurants, Grocery Stores"
St Mary Church,7691,,Female,Yes,310.0,Yes,No,"Medical Shops, Transportation, Restaurants"
"Clement Town, Post Office Road, Lane No 10",5982,,Female,Yes,609.0,Yes,Yes,Restaurants
ISBT Road,4869,,Female,Yes,880.0,Yes,No,Transportation
Subhash Nagar,5291,,Female,No,294.0,No,No,"Medical Shops, Gym, Grocery Stores, Transportation"
Manav Kendra,7377,,Female,No,660.0,No,Yes,"Gym, Medical Shops, Grocery Stores"
"Lane-10, Post Office Road",4276,,Female,Yes,293.0,No,No,"Medical Shops, Gym, Grocery Stores"
Sahastradhara,4439,,Female,No,270.0,No,Yes,"Transportation, Grocery Stores, Gym"
"Lane-3, Clement Town",4181,,Male,No,445.0,No,No,Medical Shops
Air Force Colony,5885,,Female,No,393.0,Yes,No,"Gym, Medical Shops, Restaurants, Transportation"
St Mary Church,6283,,Male,Yes,623.0,Yes,No,Restaurants
Bharuwala colony,6149,,Female,No,351.0,Yes,Yes,"Grocery Stores, Medical Shops"
Tibetan Colony,5111,,Female,Yes,213.0,No,No,"Gym, Transportation, Medical Shops"
Shubhash Nagar,4911,,Female,No,955.0,No,Yes,Restaurants
Morowala,4630,,Male,Yes,786.0,Yes,No,Grocery Stores
Nehru Marg,5055,,Male,No,434.0,No,Yes,"Grocery Stores, Transportation, Medical Shops"
